Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Sanford, C., Bhattacherjee, A.","22951715800; 7006737091","IT implementation in developing country municipality: A sociocognitive analysis",2007,"Journal of Global Information Management",15,"3",,20,42,,13,10.4018/jgim.2007070102,"https://www.scopus.com/inward/record.url?eid=2-s2.0-47349125875&partnerID=40&md5=acc1cb03c0a6b02d0fbf4043cb3de069",Article,Final,"",Scopus,2-s2.0-47349125875
"Pattit, J.M., Wilemon, D.","8982809400; 7004469186","Creating high-performing software development teams",2005,"R and D Management",35,"4",,375,393,,13,10.1111/j.1467-9310.2005.00396.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-25144511018&partnerID=40&md5=70f6f226b75abcd1ba88874c17e694f0",Article,Final,"",Scopus,2-s2.0-25144511018
"Frederiksen, H.D., Mathiassen, L.","25633907200; 6603755299","Information-centric assessment of software metrics practices",2005,"IEEE Transactions on Engineering Management",52,"3",,350,362,,13,10.1109/TEM.2005.850737,"https://www.scopus.com/inward/record.url?eid=2-s2.0-23344449321&partnerID=40&md5=cc809df76d48886050d9e56943aabebd",Article,Final,"",Scopus,2-s2.0-23344449321
"Donzelli, P., Bresciani, P.","35858199200; 55947680900","Improving requirements engineering by quality modelling - A quality-based requirements engineering framework",2004,"Journal of Research and Practice in Information Technology",36,"4",,277,294,,13,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-8344232340&partnerID=40&md5=ec0b74ddb9c2bf989ebb0f75f78cbd39",Article,Final,"",Scopus,2-s2.0-8344232340
"Christiansen, J.K., Vendelø, M.T.","8555378800; 8088278300","The Role of Reputation Building in International R&amp;D Project Collaboration",2003,"Corporate Reputation Review",5,"4",,304,329,,13,10.1057/palgrave.crr.1540181,"https://www.scopus.com/inward/record.url?eid=2-s2.0-62949229748&partnerID=40&md5=cb1484966918b40fa18b7bdda2c8c4be",Article,Final,"",Scopus,2-s2.0-62949229748
"Pujari, D., Wright, G.","6602427236; 56031890900","Integrating environmental issues into product development: Understanding the dimensions of perceived driving forces and stakeholders",1999,"Journal of Euromarketing",7,"4",,43,63,,13,10.1300/J037v07n04_03,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0032702509&partnerID=40&md5=222b6cc27273ca3e17904fe509dc8542",Review,Final,"",Scopus,2-s2.0-0032702509
"Mahmoudi, A., Bagherpour, M., Javed, S.A.","57202163589; 14036876100; 57203756154","Grey Earned Value Management: Theory and Applications",2021,"IEEE Transactions on Engineering Management",68,"6", 8790982,1703,1721,,12,10.1109/TEM.2019.2920904,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067208726&partnerID=40&md5=5fb585e2cf320354397f51fc8546808b",Article,Final,"",Scopus,2-s2.0-85067208726
"Kineber, A.F., Othman, I., Oke, A.E., Chileshe, N., Zayed, T.","57218115484; 54995412700; 57193062077; 12808688300; 6602677808","Exploring the value management critical success factors for sustainable residential building – A structural equation modelling approach",2021,"Journal of Cleaner Production",293,"", 126115,,,,12,10.1016/j.jclepro.2021.126115,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100736911&partnerID=40&md5=eb524815ba54310d90cb3b5906566601",Article,Final,"",Scopus,2-s2.0-85100736911
"Zhang, X., Tariq, S.","16647701900; 57210196722","Failure Mechanisms in International Water PPP Projects: A Public Sector Perspective",2020,"Journal of Construction Engineering and Management",146,"6", 04020055,,,,12,10.1061/(ASCE)CO.1943-7862.0001837,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082883560&partnerID=40&md5=d4b22aa023adbebd08300a7737ec8868",Article,Final,"",Scopus,2-s2.0-85082883560
"Fernandes, G., Pinto, E.B., Araújo, M., Machado, R.J.","56275362400; 56981028700; 7202962556; 7101977854","The roles of a Programme and Project Management Office to support collaborative university–industry R&amp;D",2020,"Total Quality Management and Business Excellence",31,"5-6",,583,608,,12,10.1080/14783363.2018.1436963,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042213538&partnerID=40&md5=40b03a6abdf9d370ed4b0081671e8470",Article,Final,"",Scopus,2-s2.0-85042213538
